source,id,title,authors,publication_year,publisher,language,rights,access,is_public_domain,isbn,oclc_num,lccn,bib_fmt,pub_place,holding_library,source_url,catalog_url
hathitrust,osu.32435058597691,Deutsche Dialektgeographie,,1922,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435058597691,https://catalog.hathitrust.org/Record/000045719
hathitrust,osu.32435058597741,Deutsche Dialektgeographie,,1922,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435058597741,https://catalog.hathitrust.org/Record/000045719
hathitrust,osu.32435058590118,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435058590118,https://catalog.hathitrust.org/Record/000045719
hathitrust,osu.32435056347594,Deutsche Dialektgeographie,,1962,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,ic,deny,False,,1566366,31015487,SE,gw ,OU,https://babel.hathitrust.org/cgi/pt?id=osu.32435056347594,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.l0079763710,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.l0079763710,https://catalog.hathitrust.org/Record/000045719
hathitrust,uc1.l0071200356,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,UC,https://babel.hathitrust.org/cgi/pt?id=uc1.l0071200356,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591805,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591805,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591813,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591813,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591821,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591821,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591839,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591839,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591862,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591862,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591870,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591870,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591888,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591888,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112119591896,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112119591896,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiuo.ark:/13960/s2nzr7x9dcm,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiuo.ark%3A/13960/s2nzr7x9dcm,https://catalog.hathitrust.org/Record/000045719
hathitrust,uga1.32108010881459,Deutsche Dialektgeographie,,1919,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,GU,https://babel.hathitrust.org/cgi/pt?id=uga1.32108010881459,https://catalog.hathitrust.org/Record/000045719
hathitrust,uga1.32108010881509,Deutsche Dialektgeographie,,1922,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,GU,https://babel.hathitrust.org/cgi/pt?id=uga1.32108010881509,https://catalog.hathitrust.org/Record/000045719
hathitrust,uga1.32108010881558,Deutsche Dialektgeographie,,1921,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,GU,https://babel.hathitrust.org/cgi/pt?id=uga1.32108010881558,https://catalog.hathitrust.org/Record/000045719
hathitrust,uga1.32108010881574,Deutsche Dialektgeographie,,1922,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,GU,https://babel.hathitrust.org/cgi/pt?id=uga1.32108010881574,https://catalog.hathitrust.org/Record/000045719
hathitrust,wu.89054438635,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,pdus,allow,True,,1566366,31015487,SE,gw ,WU,https://babel.hathitrust.org/cgi/pt?id=wu.89054438635,https://catalog.hathitrust.org/Record/000045719
hathitrust,wu.89054438650,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,WU,https://babel.hathitrust.org/cgi/pt?id=wu.89054438650,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112126845442,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112126845442,https://catalog.hathitrust.org/Record/000045719
hathitrust,uiug.30112126845459,Deutsche Dialektgeographie,,2999,"N.G. Elwert'sche Verlagsbuchhandlung, 1908-",ger,und,deny,False,,1566366,31015487,SE,gw ,UIU,https://babel.hathitrust.org/cgi/pt?id=uiug.30112126845459,https://catalog.hathitrust.org/Record/000045719
